
9/12/2019 : (Thursday)12:50:5
millis,Volt,Current,Power(kW),Energy(kJ),Analog Input 2,Analog Input 3,RPM,X-Accel(m/s^2),Y-Accel(m/s^2),Z-Accel(m/s^2),DIGIN_4
59800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.04,10.00,1,
60000,0.0,2.0,0.0,0,0.00,0.00,0.00,-0.16,0.04,10.04,1,
60200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.08,9.77,1,
60400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,10.00,1,
60600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.20,0.04,10.00,1,
60800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,10.00,1,
61000,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.08,10.00,1,
61200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.20,0.04,9.61,1,
61400,0.0,1.2,0.0, ,0.00,0.00,0.00,-0.31,0.04,10.04,1,
61600,0.0,2.0,0.0, ,0.00,0.00,0.00,0.00,0.08,10.04,1,
61800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.04,10.00,1,
62000,0.0,2.0,0.0,0,0.00,0.00,0.00,-0.39,0.04,10.04,1,
62200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.12,9.77,1,
62400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.39,0.04,9.92,1,
62600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.04,10.00,1,
62800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.04,10.04,1,
63000,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.08,10.04,1,
63200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,9.69,1,
63400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.12,10.00,1,
63600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.08,9.96,1,
